  5e | 03/31/2023 | 02:44:12 PM KST | Power Supply #0x32 | Failure detected | Asserted
  5f | 03/31/2023 | 02:44:12 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  60 | 03/31/2023 | 02:44:25 PM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  61 | 03/31/2023 | 02:44:25 PM KST | Power Supply #0x32 | Failure detected | Asserted
  62 | 03/31/2023 | 02:44:25 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  63 | 03/31/2023 | 02:44:29 PM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  64 | 03/31/2023 | 02:44:29 PM KST | Power Supply #0x32 | Failure detected | Asserted
  65 | 03/31/2023 | 02:44:29 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  66 | 03/31/2023 | 02:46:32 PM KST | Power Supply #0x42 | Redundancy Lost | Deasserted
  67 | 06/14/2024 | 05:22:29 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  68 | 05/08/2025 | 03:09:38 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  69 |  Pre-Init  |0000000162| System ACPI Power State #0xaa | S0/G0: working | Asserted
  6a | 05/10/2025 | 09:32:10 AM KST | Power Supply #0x33 | Failure detected | Asserted
  6b | 05/10/2025 | 09:32:11 AM KST | Power Supply #0x33 | Power Supply AC lost | Asserted
  6c | 05/10/2025 | 09:32:11 AM KST | Power Supply #0x42 | Redundancy Lost | Asserted
  6d | 05/10/2025 | 09:32:12 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  6e | 05/10/2025 | 09:54:31 AM KST | Power Supply #0x42 | Redundancy Lost | Deasserted
  6f | 06/21/2025 | 09:04:53 AM KST | Power Supply #0x33 | Failure detected | Asserted
  70 | 06/21/2025 | 09:04:54 AM KST | Power Supply #0x33 | Power Supply AC lost | Asserted
  71 | 06/21/2025 | 09:04:54 AM KST | Power Supply #0x42 | Redundancy Lost | Asserted
  72 | 06/21/2025 | 09:04:59 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  73 | 06/21/2025 | 10:02:41 AM KST | Power Supply #0x42 | Redundancy Lost | Deasserted
  74 | 01/06/2026 | 03:33:25 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  75 | 01/06/2026 | 04:28:07 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  76 | 01/06/2026 | 05:04:16 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  77 | 01/06/2026 | 05:04:17 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  78 | 01/06/2026 | 05:08:23 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  79 | 01/06/2026 | 05:08:34 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  7a | 01/06/2026 | 05:08:38 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  7b | 01/06/2026 | 05:24:53 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  7c | 01/06/2026 | 05:59:05 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  7d | 02/24/2026 | 11:11:49 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  7e | 02/24/2026 | 11:12:13 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  7f | 02/24/2026 | 11:13:26 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  80 | 02/24/2026 | 11:16:09 AM KST | Drive Slot / Bay #0x02 | Drive Fault | Asserted
  81 | 02/24/2026 | 11:16:09 AM KST | Drive Slot / Bay #0x06 | Drive Fault | Asserted
  82 | 02/24/2026 | 11:16:15 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  83 | 02/24/2026 | 11:16:15 AM KST | Drive Slot / Bay #0x02 | Drive Fault | Asserted
  84 | 02/24/2026 | 11:16:15 AM KST | Drive Slot / Bay #0x06 | Drive Fault | Asserted
  85 | 02/24/2026 | 11:16:35 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  86 | 02/24/2026 | 11:16:35 AM KST | Drive Slot / Bay #0x02 | Drive Fault | Asserted
  87 | 02/24/2026 | 11:16:35 AM KST | Drive Slot / Bay #0x06 | Drive Fault | Asserted
  88 | 02/24/2026 | 11:17:15 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  89 | 02/24/2026 | 11:18:22 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  8a | 02/24/2026 | 11:18:22 AM KST | Drive Slot / Bay #0x02 | Drive Fault | Asserted
  8b | 02/24/2026 | 11:18:23 AM KST | Drive Slot / Bay #0x06 | Drive Fault | Asserted
  8c | 02/24/2026 | 11:18:25 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  8d | 02/24/2026 | 11:18:26 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  8e | 02/24/2026 | 11:18:39 AM KST | Drive Slot / Bay #0x02 | Drive Fault | Asserted
  8f | 02/24/2026 | 11:18:39 AM KST | Drive Slot / Bay #0x06 | Drive Fault | Asserted
  90 | 02/24/2026 | 11:18:44 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  91 | 02/24/2026 | 11:18:44 AM KST | Drive Slot / Bay #0x02 | Drive Fault | Asserted
  92 | 02/24/2026 | 11:18:44 AM KST | Drive Slot / Bay #0x06 | Drive Fault | Asserted
  93 | 02/24/2026 | 11:24:39 AM KST | Drive Slot / Bay #0x06 | Drive Present | Deasserted
  94 | 02/24/2026 | 11:40:02 AM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  95 | 02/24/2026 | 11:40:03 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  96 | 02/24/2026 | 01:13:07 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  97 | 02/24/2026 | 01:19:37 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  98 | 02/24/2026 | 01:26:27 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  99 | 02/24/2026 | 01:35:57 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  9a | 02/24/2026 | 01:35:57 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  9b | 02/24/2026 | 01:43:31 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  9c | 02/24/2026 | 01:45:20 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  9d | 02/24/2026 | 01:46:37 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  9e | 02/24/2026 | 01:52:03 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  9f | 02/24/2026 | 01:53:42 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  a0 | 02/24/2026 | 01:58:32 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  a1 | 02/24/2026 | 01:58:33 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  a2 | 02/24/2026 | 02:00:08 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  a3 | 02/24/2026 | 02:01:54 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  a4 | 02/24/2026 | 02:11:04 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  a5 | 02/24/2026 | 03:05:40 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  a6 | 03/04/2026 | 09:19:33 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
